"id";"test_sentence";"type";"gram";"comp_question";"question_answer"
74;"Vorig jaar kon de vierdaagse vanwege het slechte weer niet gelopen worden maar dit jaar gaat het evenement gelukkig wel door. ";"CRITICAL";"CORRECT";"Is het waar dat de avondvierdaagse vorig jaar niet werd gelopen?";"y"
75;"Mijn team heeft de belangrijkste korfbalwedstrijd van het jaar gewonnen dankzij de inzet van onze nieuwe coach. ";"CRITICAL";"CORRECT";;
76;"De directrice heeft enkele leerlingen vanwege wangedrag geschorst.";"CRITICAL";"CORRECT";;
77;"Mijn vader heeft onze nieuwe kast zonder moeite in elkaar gezet. ";"CRITICAL";"CORRECT";;
78;"Toen de wolf binnenkwam hadden drie van de zeven geitjes zich vliegensvlug verstopt in de kast.";"CRITICAL";"CORRECT";;
79;"Vanmiddag heeft de aardige buurvrouw een langdurig bezoek gebracht aan de zieke groenteboer.";"CRITICAL";"CORRECT";;
80;"Gisteren heb ik van mijn verre oom en tante uit Limburg gehoord dat zij gaan scheiden.";"CRITICAL";"CORRECT";;
92;"De grootvader liet zijn zeven jarige kleinzoon zien waar hij vroeger gewoond had. ";"FILLER";"CORRECT";"Was de kleinzoon 8 jaar?";"n"
93;"Het roodharige, brildragende meisje werd op school altijd vreselijk gepest.";"FILLER";"CORRECT";"Had het meisje blond haar?";"n"
94;"Twee van de vier auto's die bij de botsing betrokken waren, konden regelrecht naar de sloop worden gebracht.";"FILLER";"CORRECT";"Waren er 4 auto's bij de botsing betrokken?";"y"
95;"De kapper spoot drie bussen haarlak leeg om het slappe haar van mijn tante wat meer volume te geven.";"FILLER";"CORRECT";"Gebruikte de kapper 2 bussen haarlak?";"n"
96;"Oom Piet maaide zijn gazon gisteren voor het eerst met zijn gloednieuwe grasmaaier.";"FILLER";"CORRECT";"Was de grasmaaier nieuw?";"y"
97;"Ondanks alle negatieve berichten over de economie hebben Nederlanders tot en met 15 september 1 procent meer reizen geboekt dan in dezelfde periode vorig jaar. ";"FILLER";"CORRECT";"Is het aantal boekingen afgelopen jaar met 1 procent gestegen?";"y"
98;"Citroensap schijnt een efficiënt middel te zijn tegen ongewenste zwangerschappen en tegen besmetting met het HIV virus. ";"FILLER";"CORRECT";"Heeft sinaasappelsap een gunstige werking m.b.t. het HIV virus?";"n"
99;"De opening van het jachtseizoen wordt dit jaar een dag uitgesteld. ";"FILLER";"CORRECT";"Werd de opening van het jachtseizoen vorig jaar een dag uitgesteld?";"n"
100;"De verdachte werd door de politie, wegens gebrek aan bewijs, begin deze week weer vrijgelaten.";"FILLER";"CORRECT";"Werd de verdachte door een tekort aan cellen vrijgelaten?";"n"
101;"De chaos bij de grootste vakbond, FNV Bondgenoten, krijgt gevolgen voor de vakcentrale FNV.";"FILLER";"CORRECT";"Is FNV Bondgenoten de grootste vakbond?";"y"
102;"De bediening in dat peperdure restaurant was niet echt om over naar huis te schrijven.";"FILLER";"CORRECT";"Was de bediening in het restaurant slecht?";"y"
103;"De laptop die ik van mijn ouders heb gekregen vertoont zo nu en dan vreemde kuren.";"FILLER";"CORRECT";"Kreeg ik de laptop van mijn grootouders?";"n"
104;"Een aantal studenten heeft het moeilijke tentamen niet gehaald. ";"FILLER";"CORRECT";"Was het tentamen moeilijk?";"y"
105;"De recente aardbeving in het Zuid-Oosten van Indonesië heeft meer schade aangericht dan die van twee jaar geleden.";"FILLER";"CORRECT";"Heeft er twee jaar geleden ook een aardbeving plaatsgevonden?";"y"
106;"De spits van Manchester United heeft nog teveel last van zijn linkerbeen en kan komende woensdag onmogelijk spelen.";"FILLER";"CORRECT";"Heeft de voetballer last van zijn rechterbeen?";"n"
107;"De Annie M.G. Schmidt-verfilming ´Minoes´ kreeg tijdens het filmgala ooit het Gouden Kalf voor de beste lange speelfilm. ";"FILLER";"CORRECT";"Kreeg de film 'Minoes' een Oscar?";"n"
108;"Phillip Morris moest 28 miljard dollar betalen aan een 64-jarige vrouw, die de Amerikaanse tabaksgigant verantwoordelijk hield voor het feit dat ze aan longkanker lijdt. ";"FILLER";"CORRECT";"Was de betrokken vrouw 64 jaar?";"y"
109;"Het grote herenhuis dat al jaren te koop stond, is nu eindelijk verkocht. ";"FILLER";"CORRECT";"Stond het huis sinds vorige maand te koop?";"n"
110;"Vijf keer per week dagelijks 30 minuten bewegen is goed voor de gezondheid. ";"FILLER";"CORRECT";"Is 3 keer per week 30 minuten bewegen goenoeg?";"n"
111;"70% van de totale populatie van Chili woont in de hoofdstad Santiago.";"FILLER";"CORRECT";"Woont 80% van de bevolking in de hoofdstad?";"n"
